19,Alexandros Ntoulas,Assistant Professor,di@uoa,71,4185.0,25,15,1470.0,17.0,3|146,6|233,2|258,0|243,2|276,2|311,2|357,2|320,7|322,2|299,6|263,7|241,3|204,2|186,4|194,3|126,7|73,2|26,0|11,2|0,2|0,2|0,,,,,,,,,,,,,,,,,,,,-,3.4,199.3,21,di,uoa,3.0,146.0,6.0,233.0,2.0,258.0,0.0,243.0,2.0,276.0,2.0,311.0,2.0,357.0,2.0,320.0,7.0,322.0,2.0,299.0,6.0,263.0,7.0,241.0,3.0,204.0,2.0,186.0,4.0,194.0,3.0,126.0,7.0,73.0,2.0,26.0,0.0,11.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Alexandros Panaretos,Lab Lecturer,cs@ionio,12,1024.0,6,1,504.0,5.0,0|88,0|90,0|82,0|77,0|84,1|83,3|83,0|84,0|76,3|58,1|55,0|27,0|19,0|25,0|29,0|12,2|19,0|14,2|0,,,,,,,,,,,,,,,,,,,,,,,-,0.7,56.9,18,cs,ionio,0.0,88.0,0.0,90.0,0.0,82.0,0.0,77.0,0.0,84.0,1.0,83.0,3.0,83.0,0.0,84.0,0.0,76.0,3.0,58.0,1.0,55.0,0.0,27.0,0.0,19.0,0.0,25.0,0.0,29.0,0.0,12.0,2.0,19.0,0.0,14.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alexandros Pino,Lab Lecturer,di@uoa,34,285.0,10,8,161.0,8.0,0|30,3|35,2|34,0|21,1|16,2|25,4|28,0|25,3|19,4|11,2|9,2|7,0|2,0|5,0|5,0|2,0|1,1|0,2|1,1|7,3|1,1|0,1|0,,,,1|0,,,,,,,,,,,,,,,-,1.3,11.0,26,di,uoa,0.0,30.0,3.0,35.0,2.0,34.0,0.0,21.0,1.0,16.0,2.0,25.0,4.0,28.0,0.0,25.0,3.0,19.0,4.0,11.0,2.0,9.0,2.0,7.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Alexandros Potamianos,Associate Professor,ece@ntua,207,7280.0,45,46,3071.0,31.0,5|523,3|559,8|532,10|501,9|469,11|484,8|426,17|433,13|424,7|347,5|356,4|291,12|332,10|232,13|224,5|213,7|176,2|129,4|137,10|137,8|80,6|54,7|46,5|33,6|19,2|21,3|0,4|0,1|0,,,,,,,,,,,,,-,7.4,260.0,28,ece,ntua,5.0,523.0,3.0,559.0,8.0,532.0,10.0,501.0,9.0,469.0,11.0,484.0,8.0,426.0,17.0,433.0,13.0,424.0,7.0,347.0,5.0,356.0,4.0,291.0,12.0,332.0,10.0,232.0,13.0,224.0,5.0,213.0,7.0,176.0,2.0,129.0,4.0,137.0,10.0,137.0,8.0,80.0,6.0,54.0,7.0,46.0,5.0,33.0,6.0,19.0,2.0,21.0,3.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
23,Alexandros T. Tzallas,Assistant Professor,dit@uoi,172,3651.0,27,91,2627.0,24.0,23|499,16|513,16|495,13|389,15|381,8|335,20|258,6|200,9|182,10|108,3|91,5|57,6|38,2|28,5|0,4|0,2|0,1|0,,,,,,,,,,,,,,,,,,,,,,,,-,10.1,214.8,17,dit,uoi,23.0,499.0,16.0,513.0,16.0,495.0,13.0,389.0,15.0,381.0,8.0,335.0,20.0,258.0,6.0,200.0,9.0,182.0,10.0,108.0,3.0,91.0,5.0,57.0,6.0,38.0,2.0,28.0,5.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Alexios Birbas,Professor,ece@upatras,139,1242.0,17,16,281.0,9.0,5|70,4|37,2|44,3|42,2|38,0|49,7|56,4|40,5|61,2|69,2|79,8|108,15|58,8|42,5|49,2|50,3|48,2|51,1|22,0|48,4|44,4|29,7|26,9|10,4|19,6|10,4|7,7|5,0|5,0|4,1|0,1|0,3|0,5|0,,,,,,,,-,4.2,37.6,33,ece,upatras,5.0,70.0,4.0,37.0,2.0,44.0,3.0,42.0,2.0,38.0,0.0,49.0,7.0,56.0,4.0,40.0,5.0,61.0,2.0,69.0,2.0,79.0,8.0,108.0,15.0,58.0,8.0,42.0,5.0,49.0,2.0,50.0,3.0,48.0,2.0,51.0,1.0,22.0,0.0,48.0,4.0,44.0,4.0,29.0,7.0,26.0,9.0,10.0,4.0,19.0,6.0,10.0,4.0,7.0,7.0,5.0,0.0,5.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,,,,,,,,,,,,,,
25,Alexis Kaporis,Assistant Professor,icsd@aegean,37,649.0,13,1,128.0,6.0,0|12,0|25,0|25,0|10,1|26,0|30,0|30,3|23,1|37,1|41,2|37,3|42,3|56,3|52,1|32,4|38,4|33,0|31,1|23,1|18,3|8,1|0,,,,,,,,,,,,,,,,,,,,-,1.8,30.9,21,icsd,aegean,0.0,12.0,0.0,25.0,0.0,25.0,0.0,10.0,1.0,26.0,0.0,30.0,0.0,30.0,3.0,23.0,1.0,37.0,1.0,41.0,2.0,37.0,3.0,42.0,3.0,56.0,3.0,52.0,1.0,32.0,4.0,38.0,4.0,33.0,0.0,31.0,1.0,23.0,1.0,18.0,3.0,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Alonistioti Nancy (Athanasia),Associate Professor,di@uoa,276,3107.0,23,16,914.0,13.0,2|151,5|145,3|155,1|144,3|150,2|169,8|157,10|176,8|169,11|190,11|177,14|205,14|197,9|161,10|163,27|128,19|127,27|120,27|92,14|46,6|10,1|0,,1|0,6|0,,,,,,,,,,,,,,,,,-,11.5,129.5,24,di,uoa,2.0,151.0,5.0,145.0,3.0,155.0,1.0,144.0,3.0,150.0,2.0,169.0,8.0,157.0,10.0,176.0,8.0,169.0,11.0,190.0,11.0,177.0,14.0,205.0,14.0,197.0,9.0,161.0,10.0,163.0,27.0,128.0,19.0,127.0,27.0,120.0,27.0,92.0,14.0,46.0,6.0,10.0,1.0,0.0,,,1.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Amalia Miliou,Associate Professor,csd@auth,156,1784.0,22,57,915.0,17.0,11|213,11|190,13|161,6|130,9|94,7|125,7|84,7|114,10|100,14|116,9|76,3|58,10|50,6|32,4|16,4|20,4|22,0|17,0|17,0|11,0|4,1|5,1|5,1|9,0|11,0|15,0|17,0|14,4|12,0|8,1|13,0|9,1|0,2|0,,,,,,,,-,4.7,54.1,33,csd,auth,11.0,213.0,11.0,190.0,13.0,161.0,6.0,130.0,9.0,94.0,7.0,125.0,7.0,84.0,7.0,114.0,10.0,100.0,14.0,116.0,9.0,76.0,3.0,58.0,10.0,50.0,6.0,32.0,4.0,16.0,4.0,20.0,4.0,22.0,0.0,17.0,0.0,17.0,0.0,11.0,0.0,4.0,1.0,5.0,1.0,5.0,1.0,9.0,0.0,11.0,0.0,15.0,0.0,17.0,0.0,14.0,4.0,12.0,0.0,8.0,1.0,13.0,0.0,9.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,
28,Anargyros Tsadimas,Lab Lecturer,dit@hua,32,254.0,9,13,175.0,8.0,1|34,1|27,3|33,3|38,0|16,5|27,3|22,3|20,2|9,1|7,0|6,2|4,2|2,0|2,2|5,4|1,,,,,,,,,,,,,,,,,,,,,,,,,,-,2.1,16.9,15,dit,hua,1.0,34.0,1.0,27.0,3.0,33.0,3.0,38.0,0.0,16.0,5.0,27.0,3.0,22.0,3.0,20.0,2.0,9.0,1.0,7.0,0.0,6.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
